# dt=0.01, m=1.00, gamma=1.00, R=50.00
# t	 x	 y	 vx	 vy
0.00	0.00	0.00	10.00	10.00
0.01	0.10	0.10	9.88	10.26
0.02	0.20	0.21	9.97	10.55
0.03	0.30	0.31	9.73	10.90
0.04	0.39	0.42	9.39	10.77
0.05	0.49	0.53	9.44	10.61
0.06	0.58	0.63	9.60	10.46
0.07	0.67	0.74	9.16	10.41
0.08	0.77	0.84	9.09	10.41
0.09	0.86	0.95	9.19	10.34
0.10	0.95	1.05	8.49	9.99
0.11	1.03	1.15	8.36	10.52
0.12	1.12	1.25	8.47	10.15
0.13	1.20	1.35	8.51	10.27
0.14	1.29	1.46	8.47	9.95
0.15	1.37	1.56	8.01	9.74
0.16	1.44	1.65	7.25	9.63
0.17	1.51	1.75	6.88	9.24
0.18	1.58	1.84	6.90	9.01
0.19	1.65	1.93	6.95	8.95
0.20	1.72	2.01	7.11	8.25
0.21	1.79	2.10	6.99	8.48
0.22	1.86	2.18	6.32	8.14
0.23	1.92	2.26	6.32	7.54
0.24	1.99	2.33	6.34	7.12
0.25	2.05	2.41	6.62	7.45
0.26	2.12	2.48	7.05	7.52
0.27	2.19	2.55	7.23	7.48
0.28	2.26	2.63	7.11	7.51
0.29	2.33	2.71	7.13	7.60
0.30	2.41	2.78	7.21	7.14
0.31	2.48	2.85	7.23	7.10
0.32	2.55	2.93	7.15	7.43
0.33	2.62	3.00	7.41	7.40
0.34	2.70	3.07	7.21	7.46
0.35	2.77	3.15	6.91	7.37
0.36	2.83	3.22	6.92	7.56
0.37	2.90	3.30	6.94	7.75
0.38	2.97	3.38	6.92	7.84
0.39	3.04	3.46	6.64	7.82
0.40	3.11	3.53	6.82	7.77
0.41	3.18	3.61	7.01	7.35
0.42	3.25	3.68	6.87	7.18
0.43	3.31	3.76	6.68	7.44
0.44	3.38	3.83	6.43	7.64
0.45	3.44	3.91	5.99	7.73
0.46	3.50	3.98	6.36	7.62
0.47	3.56	4.06	6.18	7.82
0.48	3.62	4.14	5.72	7.66
0.49	3.68	4.22	5.99	7.62
0.50	3.74	4.29	5.60	7.61
0.51	3.80	4.37	5.68	7.51
0.52	3.85	4.44	5.34	7.62
0.53	3.90	4.52	5.13	7.46
0.54	3.96	4.60	5.11	7.83
0.55	4.01	4.67	5.29	7.48
0.56	4.06	4.75	5.63	7.31
0.57	4.12	4.81	5.57	6.65
0.58	4.17	4.88	5.14	6.39
0.59	4.22	4.94	5.01	6.07
0.60	4.27	5.00	4.80	6.36
0.61	4.32	5.07	4.58	6.46
0.62	4.36	5.13	4.81	6.59
0.63	4.41	5.20	4.87	6.12
0.64	4.46	5.26	5.26	5.94
0.65	4.52	5.32	5.37	5.96
0.66	4.57	5.38	5.36	5.93
0.67	4.62	5.43	4.98	5.48
0.68	4.67	5.49	4.72	5.28
0.69	4.72	5.54	4.73	5.36
0.70	4.77	5.59	4.81	5.03
0.71	4.81	5.64	4.50	5.19
0.72	4.86	5.70	4.39	5.19
0.73	4.90	5.75	4.89	5.33
0.74	4.95	5.80	4.61	4.93
0.75	5.00	5.85	5.06	4.90
0.76	5.05	5.90	5.19	4.86
0.77	5.10	5.95	5.20	5.14
0.78	5.15	6.00	4.79	4.96
0.79	5.20	6.05	4.87	4.99
0.80	5.25	6.10	4.95	4.96
0.81	5.30	6.15	5.08	4.97
0.82	5.35	6.20	5.29	5.33
0.83	5.40	6.25	5.29	5.18
0.84	5.46	6.30	5.44	4.99
0.85	5.51	6.35	5.85	4.89
0.86	5.57	6.41	5.56	5.41
0.87	5.63	6.46	5.73	5.05
0.88	5.68	6.51	5.93	4.71
0.89	5.74	6.55	5.75	4.63
0.90	5.80	6.60	5.69	4.27
0.91	5.86	6.64	5.93	3.98
0.92	5.92	6.68	5.82	4.01
0.93	5.97	6.72	5.44	3.79
0.94	6.03	6.76	5.19	3.82
0.95	6.08	6.79	4.76	3.34
0.96	6.12	6.83	4.74	3.02
0.97	6.17	6.86	4.70	3.03
0.98	6.22	6.89	4.77	2.84
0.99	6.26	6.92	4.52	3.54
1.00	6.31	6.95	4.81	3.25
1.01	6.36	6.99	4.57	3.23
1.02	6.40	7.02	4.86	2.84
1.03	6.45	7.04	5.21	2.90
1.04	6.50	7.07	5.52	3.01
1.05	6.56	7.10	5.47	2.95
1.06	6.61	7.13	5.37	2.64
1.07	6.67	7.16	5.62	2.35
1.08	6.72	7.18	5.49	2.28
1.09	6.77	7.20	4.75	2.16
1.10	6.82	7.22	4.80	2.18
1.11	6.87	7.25	4.77	2.13
1.12	6.92	7.27	4.64	2.29
1.13	6.97	7.29	4.94	2.28
1.14	7.01	7.31	4.46	2.42
1.15	7.05	7.33	4.02	1.88
1.16	7.09	7.35	3.79	2.13
1.17	7.13	7.37	3.66	1.96
1.18	7.17	7.40	3.75	2.12
1.19	7.21	7.42	3.87	1.96
1.20	7.24	7.43	3.22	2.18
1.21	7.27	7.46	2.88	2.41
1.22	7.30	7.48	2.79	2.54
1.23	7.33	7.51	3.34	2.36
1.24	7.37	7.53	3.62	2.11
1.25	7.40	7.55	3.37	2.40
1.26	7.44	7.58	3.19	2.12
1.27	7.46	7.60	2.77	2.27
1.28	7.49	7.62	3.13	2.17
1.29	7.53	7.64	3.34	2.24
1.30	7.56	7.67	3.32	2.51
1.31	7.59	7.69	3.32	2.34
1.32	7.63	7.71	3.42	2.21
1.33	7.66	7.74	3.87	2.43
1.34	7.70	7.76	3.96	2.64
1.35	7.74	7.79	3.73	2.83
1.36	7.77	7.82	3.46	2.57
1.37	7.81	7.84	3.35	2.77
1.38	7.84	7.87	3.08	2.58
1.39	7.87	7.90	2.86	2.71
1.40	7.90	7.92	2.48	2.35
1.41	7.92	7.95	2.30	2.11
1.42	7.95	7.97	2.52	1.96
1.43	7.97	7.99	2.77	1.95
1.44	8.00	8.00	2.40	1.85
1.45	8.02	8.02	2.50	1.78
1.46	8.05	8.04	2.81	1.85
1.47	8.08	8.06	2.78	1.94
1.48	8.10	8.07	2.60	1.65
1.49	8.13	8.09	2.95	1.76
1.50	8.16	8.11	2.92	1.45
1.51	8.19	8.12	2.82	1.30
1.52	8.21	8.13	2.26	1.23
1.53	8.23	8.15	1.90	1.00
